Name,Class,Time,Date
Tran Bao Ngoc(2),DHKHMT17BTT,23:55:37,2025-05-16
Tran Bao Ngoc(3),DHKHMT17BTT,00:06:38,2025-05-17
Tran Bao Ngoc,DHKHMT17BTT,00:07:03,2025-05-17
Bill Gate(1),DHCNTT,00:07:33,2025-05-17
Tran Bao Ngoc,DHKHMT17BTT,23:45:28,2025-05-17
Tran Bao Ngoc(2),DHKHMT17BTT,07:23:19,2025-05-18
Bill Gate(1),DHCNTT,07:24:50,2025-05-18
Phan Minh Khang(4),DHKHMT17BTT,07:37:20,2025-05-18
khang,18BTT,08:20:06,2025-05-20
Tran Bao Ngoc(1),DHKHMT17BTT,12:36:58,2025-06-04
Tran Bao Ngoc,DHKHMT17BTT,13:38:13,2025-06-04
Tran Bao Ngoc(5),DHKHMT17BTT,13:45:27,2025-06-04
Elon Musk,DHKHMT,15:40:29,2025-06-04
